id,target,dilution,replicate,conc,BLOD,BLOQ,Ct,well,source_file
SCr-266,trout,1:1,2.0,14.171628026245804,1,1,Undetermined,D5,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-266,trout,1:1,3.0,14.171628026245804,1,1,Undetermined,D6,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-266,trout,1:5,1.0,70.85814013122902,1,1,Undetermined,D7,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-266,trout,1:5,2.0,70.85814013122902,1,1,Undetermined,D8,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-266,trout,1:5,3.0,70.85814013122902,1,1,Undetermined,D9,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-272,trout,1:5,1.0,877.94157546733,0,0,32.04560089,D10,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-272,trout,1:5,2.0,811.7996557799542,0,0,32.16473007,D11,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-272,trout,1:5,3.0,880.8994211030904,0,0,32.04048538,D12,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-267,trout,1:1,1.0,973.2476304918487,0,0,29.44101143,E4,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-267,trout,1:1,2.0,1157.6326123726353,0,0,29.17713928,E5,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-267,trout,1:1,3.0,1034.512154191834,0,0,29.3481636,E6,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-267,trout,1:5,1.0,700.6571468059781,0,0,32.38866425,E7,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-267,trout,1:5,2.0,502.7887879606295,0,0,32.89338303,E8,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-267,trout,1:5,3.0,500.94723733687715,0,0,32.89896393,E9,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-273,trout,1:1,1.0,1515.2245393547903,0,0,28.76772499,E10,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-273,trout,1:1,2.0,1323.301173549267,0,0,28.97371101,E11,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-273,trout,1:1,3.0,1125.0748507728292,0,0,29.22052765,E12,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-268,trout,1:1,1.0,14.171628026245804,1,1,Undetermined,F4,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-268,trout,1:1,2.0,14.171628026245804,1,1,Undetermined,F5,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-268,trout,1:1,3.0,14.171628026245804,1,1,Undetermined,F6,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-268,trout,1:5,1.0,70.85814013122902,1,1,Undetermined,F7,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-268,trout,1:5,2.0,70.85814013122902,1,1,Undetermined,F8,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-268,trout,1:5,3.0,70.85814013122902,1,1,Undetermined,F9,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-273,trout,1:5,1.0,1108.110106982041,0,0,31.69148064,F10,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-273,trout,1:5,2.0,987.9965702679311,0,0,31.86598015,F11,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-273,trout,1:5,3.0,948.6202937692702,0,0,31.92783737,F12,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
SCr-269,trout,1:1,1.0,14.171628026245804,1,1,Undetermined,G4,20200930_Scott_Creek_Omykiss_Chloe_P1_results.csv
