INDEP	SHIFT	DEP	STOR
16N	16N	16N	1S
7.36	0.00	1534.57	
7.37	0.00	1538.39	
7.38	0.00	1542.20	
7.39	0.00	1546.02	
7.40	0.00	1549.84	
7.41	0.00	1553.66	
7.42	0.00	1557.49	
7.43	0.00	1561.31	
7.44	0.00	1565.14	
7.45	0.00	1568.97	
7.46	0.00	1572.80	
7.47	0.00	1576.63	
7.48	0.00	1580.46	
7.49	0.00	1584.30	
7.50	0.00	1588.14	
7.51	0.00	1591.98	
7.52	0.00	1595.82	
7.53	0.00	1599.66	
7.54	0.00	1603.50	
7.55	0.00	1607.35	
7.56	0.00	1611.20	
7.57	0.00	1615.05	
7.58	0.00	1618.90	
7.59	0.00	1622.75	
7.60	0.00	1626.61	
7.61	0.00	1630.46	
7.62	0.00	1634.32	
7.63	0.00	1638.18	
7.64	0.00	1642.04	
7.65	0.00	1645.91	
7.66	0.00	1649.77	
7.67	0.00	1653.64	
7.68	0.00	1657.51	
7.69	0.00	1661.38	
7.70	0.00	1665.25	
7.71	0.00	1669.12	
7.72	0.00	1673.00	
7.73	0.00	1676.88	
7.74	0.00	1680.76	
7.75	0.00	1684.64	
7.76	0.00	1688.52	
7.77	0.00	1692.40	
7.78	0.00	1696.29	
7.79	0.00	1700.17	
7.80	0.00	1704.06	
7.81	0.00	1707.95	
7.82	0.00	1711.85	
7.83	0.00	1715.74	
7.84	0.00	1719.64	
7.85	0.00	1723.53	
7.86	0.00	1727.43	
7.87	0.00	1731.33	
7.88	0.00	1735.23	
7.89	0.00	1739.14	
7.90	0.00	1743.04	
7.91	0.00	1746.95	
7.92	0.00	1750.86	
7.93	0.00	1754.77	
7.94	0.00	1758.68	
7.95	0.00	1762.60	
7.96	0.00	1766.51	
7.97	0.00	1770.43	
7.98	0.00	1774.35	
7.99	0.00	1778.27	
8.00	0.00	1782.19	
8.01	0.00	1786.11	
8.02	0.00	1790.04	
8.03	0.00	1793.97	
8.04	0.00	1797.89	
8.05	0.00	1801.82	
8.06	0.00	1805.76	
8.07	0.00	1809.69	
8.08	0.00	1813.62	
8.09	0.00	1817.56	
8.10	0.00	1821.50	
8.11	0.00	1825.44	
8.12	0.00	1829.38	
8.13	0.00	1833.32	
8.14	0.00	1837.27	
8.15	0.00	1841.21	
8.16	0.00	1845.16	
8.17	0.00	1849.11	
8.18	0.00	1853.06	
8.19	0.00	1857.01	
8.20	0.00	1860.97	
8.21	0.00	1864.92	
8.22	0.00	1868.88	
8.23	0.00	1872.84	
8.24	0.00	1876.80	
8.25	0.00	1880.76	
8.26	0.00	1884.73	
8.27	0.00	1888.69	
8.28	0.00	1892.66	
8.29	0.00	1896.63	
8.30	0.00	1900.60	
8.31	0.00	1904.57	
8.32	0.00	1908.54	
8.33	0.00	1912.52	
8.34	0.00	1916.49	
8.35	0.00	1920.47	
8.36	0.00	1924.45	
8.37	0.00	1928.43	
8.38	0.00	1932.41	
8.39	0.00	1936.40	
8.40	0.00	1940.38	
8.41	0.00	1944.37	
8.42	0.00	1948.36	
8.43	0.00	1952.35	
8.44	0.00	1956.34	
8.45	0.00	1960.33	
8.46	0.00	1964.33	
8.47	0.00	1968.32	
8.48	0.00	1972.32	
8.49	0.00	1976.32	
8.50	0.00	1980.32	
8.51	0.00	1984.32	
8.52	0.00	1988.33	
8.53	0.00	1992.33	
8.54	0.00	1996.34	
8.55	0.00	2000.35	
8.56	0.00	2004.36	
8.57	0.00	2008.37	
8.58	0.00	2012.38	
8.59	0.00	2016.40	
8.60	0.00	2020.41	
8.61	0.00	2024.43	
8.62	0.00	2028.45	
8.63	0.00	2032.47	
8.64	0.00	2036.49	
8.65	0.00	2040.52	
8.66	0.00	2044.54	
8.67	0.00	2048.57	
8.68	0.00	2052.60	
8.69	0.00	2056.63	
8.70	0.00	2060.66	
8.71	0.00	2064.69	
8.72	0.00	2068.72	
