Protocol,Start Date,Start Date (Julian),Sample Start Date,Sample Start Date (Julian),Sample End Date,Sample End Date (Julian),Time To Sample (hh:mm:ss),Target Volume (ml),Actual Volume (ml),Difference (ml),Lab_Field,Extract_Abbr,Extract_No,Extract_ID
bac wcr,2019-11-19 18:04:38 -08:00,323.75,2019-11-19 18:15:18 -08:00,323.76,2019-11-19 19:16:10 -08:00,323.8,1:00:52,2000,1548.5,451.5,deployed,SCr,432,SCr-432
bac wcr,2019-11-20 06:04:41 -08:00,324.25,2019-11-20 06:15:21 -08:00,324.26,2019-11-20 07:16:39 -08:00,324.3,1:01:18,2000,1446.2,553.8,deployed,SCr,433,SCr-433
bac wcr,2019-11-20 12:04:41 -08:00,324.5,2019-11-20 12:15:20 -08:00,324.51,2019-11-20 13:10:43 -08:00,324.55,0:55:22,2000,1475.1,524.9,deployed,SCr,434,SCr-434
bac wcr,2019-11-20 18:04:38 -08:00,324.75,2019-11-20 18:15:18 -08:00,324.76,2019-11-20 19:15:11 -08:00,324.8,0:59:53,2000,1425,575,deployed,SCr,435,SCr-435
bac wcr,2019-11-21 06:04:47 -08:00,325.25,2019-11-21 06:15:29 -08:00,325.26,2019-11-21 07:14:27 -08:00,325.3,0:58:58,2000,1375.1,624.9,deployed,SCr,436,SCr-436
bac wcr,2019-11-21 12:04:37 -08:00,325.5,2019-11-21 12:15:16 -08:00,325.51,2019-11-21 13:18:05 -08:00,325.55,1:02:49,2000,1475.1,524.9,deployed,SCr,437,SCr-437
bac wcr,2019-11-21 18:04:37 -08:00,325.75,2019-11-21 18:15:18 -08:00,325.76,2019-11-21 19:20:22 -08:00,325.81,1:05:04,2000,1750.1,249.9,deployed,SCr,438,SCr-438
bac wcr,2019-11-22 06:04:49 -08:00,326.25,2019-11-22 06:15:30 -08:00,326.26,2019-11-22 07:18:23 -08:00,326.3,1:02:53,2000,1525.1,474.9,deployed,SCr,439,SCr-439
bac wcr,2019-11-22 11:54:43 -08:00,326.5,2019-11-22 12:05:25 -08:00,326.5,2019-11-22 13:14:42 -08:00,326.55,1:09:17,2000,1650.1,349.9,deployed,SCr,440,SCr-440
bac wcr,2019-11-22 17:54:39 -08:00,326.75,2019-11-22 18:05:20 -08:00,326.75,2019-11-22 19:18:04 -08:00,326.8,1:12:43,2000,1775.1,224.9,deployed,SCr,441,SCr-441
bac wcr,2019-11-23 06:04:52 -08:00,327.25,2019-11-23 06:15:33 -08:00,327.26,2019-11-23 07:18:17 -08:00,327.3,1:02:44,2000,1525,475,deployed,SCr,442,SCr-442
bac wcr,2019-11-23 12:04:36 -08:00,327.5,2019-11-23 12:15:21 -08:00,327.51,2019-11-23 13:23:49 -08:00,327.56,1:08:28,2000,1600.1,399.9,deployed,SCr,443,SCr-443
bac wcr,2019-11-23 18:03:34 -08:00,327.75,2019-11-23 18:14:14 -08:00,327.76,2019-11-23 18:15:57 -08:00,327.76,0:01:43,2000,5.5,1994.5,deployed,SCr,444,SCr-444
bac wcr,2019-11-24 06:04:51 -08:00,328.25,2019-11-24 06:15:42 -08:00,328.26,2019-11-24 07:22:27 -08:00,328.31,1:06:44,2000,1547.5,452.5,deployed,SCr,445,SCr-445
bac wcr,2019-11-24 11:54:38 -08:00,328.5,2019-11-24 12:05:21 -08:00,328.5,2019-11-24 12:07:20 -08:00,328.51,0:01:59,2000,4.8,1995.2,deployed,SCr,446,SCr-446
bac wcr,2019-11-24 17:54:45 -08:00,328.75,2019-11-24 18:05:25 -08:00,328.75,2019-11-24 19:12:36 -08:00,328.8,1:07:11,2000,1598.6,401.4,deployed,SCr,447,SCr-447
bac wcr,2019-11-25 06:04:50 -08:00,329.25,2019-11-25 06:15:39 -08:00,329.26,2019-11-25 07:19:44 -08:00,329.31,1:04:04,2000,1599.6,400.4,deployed,SCr,448,SCr-448
bac wcr,2019-11-25 17:54:41 -08:00,329.75,2019-11-25 18:05:23 -08:00,329.75,2019-11-25 19:13:51 -08:00,329.8,1:08:28,2000,1623.5,376.5,deployed,SCr,449,SCr-449
bac wcr,2019-11-26 06:04:50 -08:00,330.25,2019-11-26 06:15:40 -08:00,330.26,2019-11-26 07:21:25 -08:00,330.31,1:05:45,2000,1649.3,350.7,deployed,SCr,450,SCr-450
bac wcr,2019-11-26 18:04:43 -08:00,330.75,2019-11-26 18:15:25 -08:00,330.76,2019-11-26 19:07:48 -08:00,330.8,0:52:22,2000,1425.1,574.9,deployed,SCr,451,SCr-451
bac wcr,2019-11-27 06:04:45 -08:00,331.25,2019-11-27 06:15:31 -08:00,331.26,2019-11-27 06:38:02 -08:00,331.28,0:22:31,2000,399.8,1600.2,deployed,SCr,452,SCr-452
bac wcr,2019-11-27 18:04:44 -08:00,331.75,2019-11-27 18:15:26 -08:00,331.76,2019-11-27 18:54:13 -08:00,331.79,0:38:46,2000,794.4,1205.6,deployed,SCr,453,SCr-453
bac wcr,2019-11-28 06:04:52 -08:00,332.25,2019-11-28 06:15:40 -08:00,332.26,2019-11-28 06:59:34 -08:00,332.29,0:43:53,2000,1000.1,999.9,deployed,SCr,454,SCr-454
bac wcr,2019-11-28 18:04:42 -08:00,332.75,2019-11-28 18:15:34 -08:00,332.76,2019-11-28 19:14:22 -08:00,332.8,0:58:48,2000,1400.1,599.9,deployed,SCr,455,SCr-455
bac wcr,2019-11-29 10:12:52 -08:00,333.43,2019-11-29 10:23:34 -08:00,333.43,2019-11-29 11:30:15 -08:00,333.48,1:06:40,2000,1572.9,427.1,deployed,SCr,456,SCr-456
bac wcr,2019-11-29 17:44:53 -08:00,333.74,2019-11-29 17:55:34 -08:00,333.75,2019-11-29 18:57:35 -08:00,333.79,1:02:00,2000,1725.1,274.9,deployed,SCr,457,SCr-457
bac wcr,2019-11-30 05:44:48 -08:00,334.24,2019-11-30 05:55:30 -08:00,334.25,2019-11-30 07:03:07 -08:00,334.29,1:07:36,2000,1825.1,174.9,deployed,SCr,458,SCr-458
bac wcr,2019-11-30 17:44:46 -08:00,334.74,2019-11-30 17:55:29 -08:00,334.75,2019-11-30 18:46:44 -08:00,334.78,0:51:15,2000,1450.1,549.9,deployed,SCr,459,SCr-459
bac wcr,2019-12-01 06:04:42 -08:00,335.25,2019-12-01 06:15:30 -08:00,335.26,2019-12-01 06:48:51 -08:00,335.28,0:33:21,2000,850.1,1149.9,deployed,SCr,460,SCr-460
bac wcr,2019-12-02 06:04:52 -08:00,336.25,2019-12-02 06:15:34 -08:00,336.26,2019-12-02 06:27:13 -08:00,336.27,0:11:39,2000,120.3,1879.7,deployed,SCr,461,SCr-461
